Ticker,Summary,Label,Confidence,URL
ETH,Ethereum’s net issuance rate has fallen since the Merge. Bitcoin’s inflation rate is currently about 1.75%,NEGATIVE,0.999365509,https://finance.yahoo.com/news/ethereum-merge-vaults-cryptocurrency-past-020111129.html
ETH,"Core principles like ‘credible neutrality’ seen at odds with regulators. Two versions of the Chain: one regulated, one not",NEGATIVE,0.84711653,https://finance.yahoo.com/news/censorship-fork-ethereum-111500357.html
ETH,"Ether has dropped 20% since the end of July, but has rebounded in past four weeks. DeFi option platform Opyn says it has seen a 505% increase in users.",POSITIVE,0.650927782,https://finance.yahoo.com/news/defi-options-platform-opyns-crab-093839942.html
ETH,Analysts claim a price indicator is pointing to a significant move.,NEGATIVE,0.515408576,https://uk.finance.yahoo.com/news/bitcoin-price-crypto-ethereum-binance-094851573.html
ETH,"Reversibility would probably be a popular feature, especially among risk-averse. Stanford researchers don’t intend for Ethereum to be 100% reversible",NEGATIVE,0.958625734,https://finance.yahoo.com/news/reversibility-ethereum-benefits-pitfalls-190719333.html
ETH,Critics question whether donations went to the right place. Bitcoin and Ether donations flowed to Celsius-controlled wallets,NEGATIVE,0.996139586,https://finance.yahoo.com/news/celsius-once-solicited-donations-ukraine-073839535.html
ETH,The Ethereum Foundation is working on the next major upgrade. Ethereum Foundation is launching a pre-Shangdong testnet,NEGATIVE,0.98606813,https://uk.finance.yahoo.com/news/ethereum-price-shanghai-upgrade-090725986.html
ETH,Rishi Sunak appointed prime minister after Liz Truss resigned. Key crypto-analysts ask what could happen under his premiership,NEGATIVE,0.981148183,https://uk.finance.yahoo.com/news/rishi-sunak-crypto-hub-bitcoin-123727766.html
ETH,"Emergency bond buying expanded for the second time this week. Bitcoin, ethereum prices fall below $1tn level",NEGATIVE,0.997891605,https://uk.finance.yahoo.com/news/bitcoin-ethereum-price-latest-crypto-market-093018342.html
ETH,Cronos is among the top 10 blockchains with close to 1 million users.,POSITIVE,0.987017214,https://finance.yahoo.com/news/interview-cronos-provides-first-ethereum-130310177.html
TSLA,"Work has been halted on existing EV projects, sources say",NEGATIVE,0.999442041,https://www.reuters.com/business/autos-transportation/exclusive-toyota-scrambles-ev-reboot-with-eye-tesla-2022-10-24/
TSLA,Tesla’s Elon Musk offers ‘peace’ plan for Ukraine,POSITIVE,0.997120619,https://www.cnn.com/2022/10/18/opinions/elon-musk-russia-ukraine-putin-xi-china-ghitis/index.html
TSLA,"Musk has until Friday to complete the deal. Primary financiers Morgan Stanley, Bank of America and Barclays",NEGATIVE,0.665418446,https://www.forbes.com/sites/dereksaul/2022/10/25/elon-musk-reportedly-tells-bankers-hell-buy-twitter-by-friday-deadline/
TSLA,"FT World columnists offer in-depth analysis, in-depth features.",POSITIVE,0.998558223,https://www.ft.com/content/36933732-ce1a-4f5c-9345-0a96e4aa2715
TSLA,"Facebook parent’s stock is lower today than where it traded in 2017. Over the last five years, Chevron has beaten Meta in total returns",NEGATIVE,0.999450505,https://www.marketwatch.com/story/this-stock-is-likely-to-outperform-tesla-just-like-chevron-stock-has-beaten-meta-platforms-11666717326
